,식품군,식품이름,열량 (kcal),탄수화물 (g),단백질 (g),지방 (g),당류 (g),나트륨 (mg),포화지방산 (g)
3722,빵 또는 떡류,뉴욕소프트치즈케익,252.94,37.69,3.97,8.93,16.59,119.03,3.37
3723,빵 또는 떡류,뉴잉글리쉬머핀,150.77,30.15,3.77,4.4,0.41,276.41,0.88
3724,빵 또는 떡류,뉴초코링도넛,315.87,40.5,6.48,16.2,14.25,307.77,11.34
3725,빵 또는 떡류,단팥도라야끼,221.13,45.23,3.77,2.64,17.34,144.49,0.88
3726,빵 또는 떡류,단팥빵플러스,270.93,53.89,7.28,3.2,10.98,218.49,1.31
3727,빵 또는 떡류,단팥슈크림,203.54,39.95,4.52,3.77,16.59,113.08,1.81
3728,빵 또는 떡류,단팥을품은 롤케익,221.8,43.34,5.1,2.68,13.44,82.86,0.64
3729,빵 또는 떡류,단팥크림빵,200.07,27.13,3.39,9.49,7.49,101.73,0.61
3730,빵 또는 떡류,단팥호빵,194.32,40.21,5.03,1.84,11.31,167.52,0.84
3731,빵 또는 떡류,달콤가득 스위트 고구마팡,172.27,29.86,3.06,4.59,9.19,168.44,1.91
3732,빵 또는 떡류,달콤고소한 소보루빵,265.42,44.92,5.44,6.81,8.17,245.0,2.86
3733,빵 또는 떡류,달콤한 카라멜 마끼야또팡,183.11,29.16,2.71,6.1,8.65,128.86,2.98
3734,빵 또는 떡류,달콤한요요꿀호떡,210.86,42.61,3.28,3.28,10.52,174.8,1.64
3735,빵 또는 떡류,담백미 소프트,193.85,37.09,4.79,3.23,1.55,358.97,1.56
3736,빵 또는 떡류,담백미 찰옥수수,184.81,35.26,4.86,2.92,1.58,316.13,1.34
3737,빵 또는 떡류,더건강한핫도그(씨제이제일제당),137.2,13.72,4.12,7.2,5.34,261.32,2.2
3738,빵 또는 떡류,더블찰떡도넛,255.47,46.07,5.86,5.86,6.05,150.77,2.6
3739,빵 또는 떡류,데니쉬 트위스트,269.23,31.23,5.38,14.0,15.08,301.54,6.46
3740,빵 또는 떡류,도라야끼 명작 밤.통단팥,221.13,45.23,3.77,2.64,17.34,144.49,0.88
3741,빵 또는 떡류,도라야끼 명작 사과,196.0,40.21,3.77,2.76,12.81,131.92,1.01
3742,빵 또는 떡류,도라야끼 통단팥,231.54,48.46,4.31,2.48,23.37,150.77,0.86
3743,빵 또는 떡류,동글동글 스위트 케익볼 ,253.16,45.01,4.5,6.75,17.34,95.64,3.38
3744,빵 또는 떡류,동글동글 스위트 케익볼 미니,252.59,44.06,3.92,6.85,25.45,93.01,3.33
3745,빵 또는 떡류,동글동글스위트케익볼,173.15,34.89,3.1,2.35,17.34,71.28,0.6
3746,빵 또는 떡류,둥글둥글치즈볼,164.15,28.42,2.94,4.41,14.21,73.5,2.2
3747,빵 또는 떡류,듀얼까페라떼롤(까페라떼롤 모카),246.88,37.69,3.77,9.42,9.05,150.77,4.52
3748,빵 또는 떡류,듀얼까페라떼롤(까페라떼롤 우유),250.65,37.69,3.77,9.42,9.05,131.92,4.33
3749,빵 또는 떡류,딴떡볶이는화끈하다(영우냉동식품),106.25,23.75,1.75,0.5,2.0,175.0,0.0
3750,빵 또는 떡류,딸기맛도넛,292.64,42.19,4.08,12.25,9.8,258.61,9.53
3751,빵 또는 떡류,딸기요거트 샌드,188.46,36.02,3.35,3.6,13.57,284.79,17.59
3752,빵 또는 떡류,딸기크림샌드,180.0,31.0,4.0,4.3,6.3,200.0,2.5
3753,빵 또는 떡류,땅콩에빠진보름달,251.12,44.62,5.1,5.86,12.65,229.45,2.29
3754,빵 또는 떡류,땅콩크림빵,240.0,29.0,5.0,12.0,6.3,220.0,7.0
3755,빵 또는 떡류,땅콩크림샌드,205.0,28.0,5.0,8.0,4.2,220.0,5.0
3756,빵 또는 떡류,땅콩호떡,222.19,41.0,3.97,4.89,10.94,171.93,1.85
3757,빵 또는 떡류,떡볶이,176.52,36.99,2.74,1.96,5.3,478.3,0.19
3758,빵 또는 떡류,런던다크브라우니,230.68,37.69,4.52,13.57,13.57,98.0,5.73
3759,빵 또는 떡류,레즌롤빵,210.0,35.0,5.0,6.0,10.5,160.0,2.7
3760,빵 또는 떡류,렌지pop 통단팥호빵,195.21,40.47,4.76,1.82,15.08,174.58,0.79
3761,빵 또는 떡류,렌지pop치킨카레호빵,164.17,28.48,6.7,2.76,5.28,293.16,1.26
3762,빵 또는 떡류,로만밀식빵,165.38,26.8,5.36,4.59,2.45,222.03,1.23
3763,빵 또는 떡류,로만밀잉글리쉬머핀,159.25,34.03,5.44,0.95,0.74,285.83,0.0
3764,빵 또는 떡류,로보카폴리식빵,160.84,26.6,4.95,3.71,2.75,241.26,1.73
3765,빵 또는 떡류,로얄데니쉬체리필드,205.69,26.92,4.31,9.69,12.06,215.38,1.62
3766,빵 또는 떡류,롱비스마르크플러스,255.47,33.5,5.03,12.56,19.6,242.91,5.03
3767,빵 또는 떡류,루피와친구들의 초코롤케익,245.0,38.63,3.77,9.42,15.08,113.08,4.43
3768,빵 또는 떡류,루피해적단의 초코섬 초코팡,233.52,29.09,3.06,11.48,9.19,153.12,5.36
3769,빵 또는 떡류,리얼 다크브라우니,230.68,37.69,4.52,13.57,13.57,98.0,5.73
3770,빵 또는 떡류,마끼아또팡,239.46,38.14,3.55,7.98,11.31,168.51,3.9
3771,빵 또는 떡류,마르게리타피자(피자코리아),110.25,13.48,5.51,3.67,0.49,238.88,2.2
3772,빵 또는 떡류,마메이드 까망베르크림치즈케익,224.94,19.45,6.08,14.59,10.55,170.22,8.51
3773,빵 또는 떡류,마메이드 뉴욕치즈케익,233.95,16.9,5.2,18.2,9.05,149.47,10.4
3774,빵 또는 떡류,마메이드 미니 다크 브라우니,196.0,31.36,2.61,11.5,5.88,78.4,4.96
3775,빵 또는 떡류,마메이드 스위트고구마케익,235.58,36.65,2.09,9.42,14.32,62.82,3.98
3776,빵 또는 떡류,마메이드 초코치즈케익,279.65,24.32,3.65,19.45,14.32,66.87,9.73
3777,빵 또는 떡류,마메이드 초코티라미스케익,260.42,19.19,4.11,17.82,9.8,95.94,10.97
3778,빵 또는 떡류,마메이드 패션무스케익,243.55,22.04,3.48,16.24,13.57,75.38,8.12
3779,빵 또는 떡류,마블베리소프트,179.72,29.84,3.39,5.43,14.41,108.51,2.98
3780,빵 또는 떡류,막걸리로발효시킨 단팥빵,212.85,41.68,4.43,3.46,17.34,195.11,1.6
3781,빵 또는 떡류,막걸리로발효시킨 제빵의 명가 단팥빵,166.16,34.59,4.75,2.17,10.95,115.29,0.88
3782,빵 또는 떡류,말랑말랑샌드위치,189.55,33.05,5.83,3.6,2.07,262.45,1.46
3783,빵 또는 떡류,맘모스,187.2,27.8,3.76,6.77,17.15,140.16,2.88
3784,빵 또는 떡류,맛있는 모닝토스트,190.56,35.39,5.44,3.4,2.45,272.22,1.36
3785,빵 또는 떡류,맛있는 옛날 꿀호떡,146.43,29.82,3.33,1.54,12.03,143.04,0.65
3786,빵 또는 떡류,맛있는 요요 꿀호떡,144.02,29.73,2.83,1.53,12.42,138.25,0.63
3787,빵 또는 떡류,매운떡볶이,173.13,38.22,3.14,0.85,3.54,484.57,0.17
3788,빵 또는 떡류,매일아침.밀크&토스트,203.28,27.19,3.88,1.42,2.25,252.48,0.58
3789,빵 또는 떡류,매콤달콤 쫄볶이(씨제이제일제당),219.1,47.7,4.7,1.1,8.5,314.9,0.3
3790,빵 또는 떡류,매콤치킨고로케,216.1,27.14,4.02,10.05,4.52,321.64,4.52
3791,빵 또는 떡류,메론홀릭소프트 ,189.9,29.16,3.39,6.78,14.41,101.73,3.26
3792,빵 또는 떡류,명인명작 밀크카스테라,217.67,43.35,4.71,3.2,24.88,65.96,1.13
3793,빵 또는 떡류,명인명작 벌꿀카스테라,216.73,43.35,4.71,3.3,24.12,37.69,1.13
3794,빵 또는 떡류,명품三色만쥬,211.3,43.4,4.57,2.63,18.09,114.22,1.26
3795,빵 또는 떡류,모카소보루스틱,285.83,43.56,5.44,9.53,8.98,204.17,4.63
3796,빵 또는 떡류,모카크림볼,268.56,35.81,3.77,13.19,13.57,197.88,6.6
3797,빵 또는 떡류,몽블랑데니쉬,192.31,24.94,3.75,8.62,10.95,56.09,3.94
3798,빵 또는 떡류,미감골드,171.36,33.93,4.24,2.97,2.58,271.47,1.1
3799,빵 또는 떡류,미니 꿀호떡 ,210.23,42.47,3.18,3.29,13.3,169.88,1.59
3800,빵 또는 떡류,미니 밀크후레쉬팡,236.78,38.66,4.83,7.73,9.8,260.95,3.0
3801,빵 또는 떡류,미니 생크림 파운드,318.29,35.6,4.19,18.85,15.08,109.94,4.19
3802,빵 또는 떡류,미니꿀호떡,281.43,58.81,6.36,2.3,20.62,184.55,1.02
3803,빵 또는 떡류,미니꿀호떡 호이호이,210.23,42.47,3.18,3.29,12.95,169.88,1.59
3804,빵 또는 떡류,미니다크브라우니,226.15,36.19,3.01,13.27,6.79,90.46,5.73
3805,빵 또는 떡류,미니딸기패스츄리,275.27,40.65,4.65,10.45,8.71,255.53,5.81
3806,빵 또는 떡류,미니초코후레쉬팡,246.45,37.69,4.83,7.73,12.06,241.62,3.87
3807,빵 또는 떡류,밀크단팥도넛,190.56,26.62,3.63,8.47,8.71,139.14,4.24
