,성별,골격근량,체지방량,BMI,체지방율,복부지방율,몸무게,나이,키,권장섭취량,탄수화물,단백질,지방,비타민A,티아민,리보플라빈,비타민C,칼슘,철분,알레르기
87,1,28.6,6.6,19.16800239,11.4,0.8,57.7,17,173.5,2700,241.86375,120.931875,17.91583333,850.0,1.3,1.7,110.0,900.0,15.0,
88,1,28.6,7.1,17.74441734,12.0,0.8,59.1,17,182.5,2700,251.50125,125.750625,18.62972222,850.0,1.3,1.7,110.0,900.0,15.0,
89,1,28.7,10.3,21.31124288,16.9,0.8,61.3,17,169.6,2700,246.36375,123.181875,18.24916667,850.0,1.3,1.7,110.0,900.0,15.0,
90,1,28.7,19.6,26.51227796,27.8,0.9,70.7,17,163.3,2700,261.02625,130.513125,19.33527778,850.0,1.3,1.7,110.0,900.0,15.0,
91,1,28.8,5.9,20.59503476,10.2,0.8,57.3,17,166.8,2700,236.01375,118.006875,17.4825,850.0,1.3,1.7,110.0,900.0,15.0,13
92,1,28.8,7.8,19.49672797,13.2,0.8,59.3,17,174.4,2700,245.83875,122.919375,18.21027778,850.0,1.3,1.7,110.0,900.0,15.0,
93,1,28.9,16.9,22.35593843,24.6,0.8,68.7,17,175.3,2700,265.90125,132.950625,19.69638889,850.0,1.3,1.7,110.0,900.0,15.0,
94,1,28.9,6.3,17.40305444,10.8,0.8,58.6,17,183.5,2700,251.22,125.61,18.60888889,850.0,1.3,1.7,110.0,900.0,15.0,2
95,1,28.9,6.6,18.81053029,11.2,0.8,58.4,17,176.2,2700,245.3325,122.66625,18.17277778,850.0,1.3,1.7,110.0,900.0,15.0,4
96,1,28.9,9.6,21.16521373,15.5,0.8,61.6,17,170.6,2700,247.7325,123.86625,18.35055556,850.0,1.3,1.7,110.0,900.0,15.0,
97,1,28.0,8.7,19.09036668,14.8,0.8,59.0,17,175.8,2700,246.27,123.135,18.24222222,850.0,1.3,1.7,110.0,900.0,15.0,
