,칼로리(Kcal),탄수화물(g),단백질(g),지방(g),비타민A(mg),티아민(mg),리보플라빈(mg),비타민C(mg),칼슘(mg),철분(mg)
3818,19.0,876.5,523.3,6741.799999999999,18.199999999999996,13.6,987.7999999999998,6503.9,148.7,규칙규칙규칙규칙규칙규칙규칙
3819,19.0,743.6,404.5,7482.2,13.8,11.200000000000001,739.0,5937.0,197.8,규칙규칙규칙규칙규칙규칙규칙
3820,17.0,822.1,528.0,5960.7,22.4,13.600000000000001,1016.6999999999998,4472.0,130.5,규칙규칙규칙규칙규칙규칙규칙
3821,19.0,818.5999999999999,413.1000000000001,6255.299999999999,16.499999999999996,12.999999999999998,972.1,5227.8,129.9,규칙규칙규칙규칙규칙규칙규칙
3822,16.0,771.1999999999998,466.5,7644.300000000001,14.3,12.100000000000001,920.5999999999999,6389.6,140.9,규칙규칙규칙규칙규칙규칙규칙
3823,16.0,852.8000000000001,577.6,10195.3,87.10000000000002,86.29999999999998,946.2,5318.0,234.6,규칙규칙규칙규칙규칙규칙규칙
3824,19.0,811.5,506.20000000000005,7746.9,16.3,15.1,1057.9,5384.0,142.0,규칙규칙규칙규칙규칙규칙규칙
3825,20.0,857.2,506.7,8028.6,106.59999999999998,60.099999999999994,1036.8,7478.5,219.5,규칙규칙규칙규칙규칙규칙규칙
3826,14.0,786.3000000000001,614.3,7497.0,16.0,13.4,715.1,6387.900000000001,148.89999999999998,규칙규칙규칙규칙규칙규칙규칙
3827,17.0,832.1,482.5,6899.7,18.8,13.4,937.1999999999998,5425.700000000001,134.9,규칙규칙규칙규칙규칙규칙규칙
3828,17.0,808.0,455.6,7357.699999999999,14.899999999999999,12.5,916.1,6703.500000000001,156.79999999999998,규칙규칙규칙규칙규칙규칙규칙
3829,18.0,759.8999999999999,484.79999999999995,5793.2,13.3,11.499999999999998,688.5,5442.700000000001,119.5,규칙규칙규칙규칙규칙규칙규칙
3830,18.0,950.8999999999999,524.1,6369.900000000001,15.600000000000001,13.600000000000001,906.6,6492.1,146.1,규칙규칙규칙규칙규칙규칙규칙
3831,18.0,821.1999999999999,440.0,6137.7,17.8,11.7,796.5,5072.9,168.79999999999998,규칙규칙규칙규칙규칙규칙규칙
