,단백질(g),리보플라빈(mg),비타민A(mg),비타민C(mg),지방(g),철분(mg),칼로리(kcal),칼슘(mg),탄수화물(g),티아민(mg)
4631,462.5,932.1,15.099999999999998,5786.9,6201.1,규칙규칙규칙규칙규칙규칙규칙,,131.1,819.3000000000002,14.1
4632,723.5,13.8,6810.499999999999,818.0,525.88,137.5,18951.32,6707.700000000002,2556.6800000000007,15.000000000000002
4633,518.0,848.2,105.20000000000002,5141.7,7643.1,규칙규칙규칙규칙규칙규칙규칙,,141.70000000000005,871.5,13.4
4634,722.31,10.5,4803.299999999998,693.5999999999998,547.68,97.3,18295.54,4427.1,2427.9700000000007,18.8
4635,507.7000000000001,894.5,73.8,5336.0999999999985,8189.6,규칙규칙규칙규칙규칙규칙규칙,,185.4,751.8999999999999,72.30000000000003
4636,694.81,8.899999999999997,5358.5,623.1999999999998,529.24,110.5,19275.32,4082.3,2755.72,12.3
4637,484.4,1129.3,15.0,7094.7,7942.299999999998,규칙규칙규칙규칙규칙규칙규칙,,151.0,900.8,13.9
4638,667.65,9.7,5279.500000000001,840.9999999999999,351.81,117.7,15698.520000000002,4325.8,2282.97,16.2
4639,688.82,11.1,7080.199999999999,817.5,450.09,128.3,17178.06,5814.5,2405.6600000000008,11.9
4640,475.7000000000001,958.9,17.799999999999994,4546.4,7678.3,규칙규칙규칙규칙규칙규칙규칙,,147.1,740.8,16.3
4641,459.1,940.3,15.3,5882.000000000001,7570.4000000000015,규칙규칙규칙규칙규칙규칙규칙,,136.10000000000002,901.8000000000003,13.1
4642,697.44,10.0,6919.000000000003,755.6999999999998,433.34999999999985,167.9,17720.38,5431.4,2441.5,11.7
4643,671.0,864.9000000000002,17.2,5835.0,6748.5,규칙규칙규칙규칙규칙규칙규칙,,147.4,870.7,13.5
4644,506.0,870.7,18.2,6939.3,8557.599999999999,규칙규칙규칙규칙규칙규칙규칙,,140.5,861.7,13.9
4645,822.0900000000001,361.6999999999999,10039.1,892.3,516.07,132.60000000000002,19214.06,6227.100000000001,2570.59,365.5
4646,757.8,9.4,7618.0999999999985,919.4,431.0,133.5,17472.75,5216.199999999999,2411.33,12.5
4647,645.07,80.49999999999999,7199.8,612.4000000000002,410.08,112.7,15207.69,4998.7,2096.17,80.8
4648,693.18,8.299999999999999,5131.6,782.4999999999999,449.05000000000007,118.4,16104.320000000003,5107.6,2157.92,12.6
4649,767.5699999999998,36.4,7039.699999999999,923.7,423.13000000000005,121.6,18986.76,5078.799999999998,2642.6800000000007,55.30000000000001
4650,794.5999999999998,11.7,7954.700000000002,1031.2,442.04000000000013,133.99999999999997,18245.800000000007,5085.1,2586.01,18.9
4651,435.2000000000001,888.2,20.0,5817.299999999998,6513.1,규칙규칙규칙규칙규칙규칙규칙,,136.70000000000002,777.6,11.3
4652,437.00000000000006,1036.6,20.7,5952.299999999998,6824.7,규칙규칙규칙규칙규칙규칙규칙,,125.6,743.7,12.1
4653,859.71,11.8,7013.300000000001,944.4,589.3,129.79999999999998,20288.93,5700.000000000001,2737.71,17.9
4654,895.13,11.9,7599.200000000002,952.8,615.5400000000002,132.4,20604.97,6336.6,2753.37,15.2
4655,754.21,13.8,6630.5999999999985,796.2000000000003,437.18,118.6,17331.4,4890.6,2463.3,11.5
4656,387.2,708.3000000000002,18.6,5250.7,6683.299999999998,규칙규칙규칙규칙규칙규칙규칙,,126.6,803.3999999999999,13.0
4657,506.2,810.8999999999999,18.2,5988.6,7431.5,규칙규칙규칙규칙규칙규칙규칙,,140.39999999999998,810.0,12.2
4658,751.68,23.2,5680.200000000002,807.8,488.79,135.60000000000002,17613.15,5589.5999999999985,2331.85,34.0
4659,481.7,952.6,15.1,6571.700000000002,8044.799999999997,규칙규칙규칙규칙규칙규칙규칙,,147.5,842.4000000000002,12.4
4660,703.73,10.5,5511.3,798.1999999999998,529.04,100.20000000000002,17817.57,4238.4000000000015,2282.120000000001,18.7
4661,638.78,9.3,4609.799999999998,754.4,361.81000000000006,103.2,14460.44,4105.1,1941.86,77.2
4662,469.00000000000006,690.1,14.4,5722.1,5615.1,규칙규칙규칙규칙규칙규칙규칙,,133.9,734.8,10.5
4663,550.9000000000002,869.1999999999998,16.9,8480.9,7967.200000000002,규칙규칙규칙규칙규칙규칙규칙,,179.2,910.8,12.6
4664,501.30000000000007,894.2,15.9,7350.1,7188.699999999999,규칙규칙규칙규칙규칙규칙규칙,,140.7,792.5,14.2
4665,470.7000000000001,801.5999999999998,16.5,6536.5999999999985,8322.3,규칙규칙규칙규칙규칙규칙규칙,,162.7,846.8000000000002,12.7
4666,736.11,11.699999999999998,6271.2,775.4000000000003,560.0400000000002,123.9,18077.18,4983.6,2401.85,17.0
